iter	Accuracy	MultiClass
0	0.9694747878	0.6842572738
1	0.9711217829	0.675511545
2	0.9712367682	0.6668970604
3	0.97192668	0.6584733491
4	0.9719740269	0.6501769034
5	0.9719300619	0.6420741791
6	0.9717609659	0.634150201
7	0.9721025398	0.6263253743
8	0.9721295952	0.6186901611
9	0.9720551929	0.6111191637
10	0.9722817816	0.6037065913
11	0.972224289	0.5965041462
12	0.9720484291	0.5893308037
13	0.9721634144	0.5823191626
14	0.9722175251	0.575390981
15	0.9721160675	0.5686172243
16	0.9720991579	0.5619589562
17	0.972224289	0.5553948403
18	0.9721904697	0.5489578625
19	0.972180324	0.5425389026
20	0.9722276709	0.5363171295
21	0.9723358923	0.5301530266
22	0.9723291285	0.524171246
23	0.9723730934	0.5182467828
24	0.9724441138	0.5124288149
25	0.9725320437	0.5066842739
26	0.972477933	0.5010155661
27	0.9724914607	0.4954766532
28	0.9725016064	0.4900099609
29	0.9725895363	0.4846469791
30	0.9725286618	0.4793411067
31	0.9726368832	0.4740921929
32	0.9725557171	0.4690066145
33	0.972647029	0.4639410966
34	0.9726335013	0.4589800339
35	0.9726673205	0.4540368924
36	0.9726943759	0.4491867021
37	0.9726571747	0.4444841221
38	0.9727112855	0.4397986928
39	0.9727789239	0.4351404567
40	0.97277216	0.4305969532
41	0.9727856877	0.4260339182
42	0.972775542	0.4215969382
43	0.9728025973	0.417224037
44	0.9728093612	0.4128293568
45	0.9728803815	0.4085121511
46	0.9728972911	0.4043585004
47	0.9728025973	0.4002880712
48	0.9728431804	0.3962429868
49	0.9728093612	0.3922488598
