iter	Passed	Remaining
0	667	32717
1	1182	28385
2	1684	26386
3	2199	25296
4	2709	24381
5	3218	23600
6	3708	22777
7	4189	21996
8	4694	21384
9	5203	20812
10	5696	20196
11	6182	19576
12	6692	19049
13	7204	18526
14	7769	18129
15	8289	17615
16	8844	17168
17	9405	16721
18	9908	16166
19	10411	15617
20	10905	15060
21	11405	14515
22	11874	13939
23	12377	13409
24	12905	12905
25	13469	12433
26	14080	11994
27	14680	11534
28	15251	11044
29	15789	10526
30	16308	9995
31	16832	9468
32	17319	8922
33	17842	8396
34	18333	7857
35	18803	7312
36	19275	6772
37	19764	6241
38	20256	5713
39	20747	5186
40	21239	4662
41	21772	4147
42	22267	3625
43	22758	3103
44	23275	2586
45	23788	2068
46	24272	1549
47	24757	1031
48	25273	515
49	25800	0
