iter	Passed	Remaining
0	1005	99540
1	1830	89674
2	2610	84411
3	3417	82026
4	4213	80061
5	4994	78242
6	5767	76626
7	6527	75060
8	7280	73618
9	8033	72303
10	8874	71799
11	9649	70764
12	10422	69750
13	11182	68694
14	11917	67535
15	12637	66346
16	13375	65305
17	14140	64418
18	14908	63557
19	15871	63487
20	16728	62932
21	17480	61974
22	18228	61026
23	18991	60138
24	19876	59630
25	20702	58922
26	21500	58130
27	22296	57333
28	23133	56637
29	23921	55815
30	24718	55018
31	25465	54114
32	26266	53328
33	27123	52651
34	28062	52116
35	29050	51645
36	29879	50875
37	30728	50136
38	31850	49817
39	32886	49330
40	33802	48643
41	34627	47818
42	35468	47015
43	36269	46160
44	37061	45297
45	37891	44481
46	38722	43666
47	39532	42826
48	40306	41951
49	41117	41117
50	41920	40276
51	42706	39421
52	43496	38572
53	44289	37727
54	45144	36936
55	45954	36107
56	46789	35297
57	47808	34619
58	48700	33843
59	49503	33002
60	50304	32162
61	51119	31331
62	51918	30491
63	52690	29638
64	53501	28808
65	54297	27971
66	55104	27141
67	55903	26307
68	56676	25463
69	57505	24645
70	58292	23809
71	59088	22979
72	59891	22151
73	60715	21332
74	61561	20520
75	62367	19694
76	63281	18902
77	64295	18134
78	65098	17304
79	65904	16476
80	66722	15650
81	67511	14819
82	68304	13990
83	69127	13167
84	69967	12347
85	70750	11517
86	71546	10690
87	72348	9865
88	73177	9044
89	73979	8219
90	74773	7395
91	75555	6570
92	76377	5748
93	77161	4925
94	78006	4105
95	78816	3284
96	79877	2470
97	80842	1649
98	81687	825
99	82609	0
